Puzzle ID,Puzzle,Time Taken,Nodes Explored,Steps to Solution,Nodes per Second
50,13-1-8-0-5-14-10-2-12-3-7-6-4-9-15-11,1.6259686946868896,4580,45,2816.782398680784
51,7-8-3-1-4-10-11-2-5-14-9-12-0-13-15-6,13.160675525665283,26522,45,2015.2460979892817
52,4-10-2-8-11-0-12-6-1-14-5-7-9-13-3-15,0.8380095958709717,2085,44,2488.0383354476853
53,0-14-6-9-12-7-5-13-2-3-1-4-15-11-10-8,802.0453360080719,2856185,64,3561.1266243573727
54,13-7-0-3-4-9-15-8-11-2-1-14-10-6-12-5,5.315536975860596,15034,50,2828.312561510489
55,4-11-5-3-12-13-15-8-14-1-6-7-2-0-9-10,23.77255153656006,57597,46,2422.8362660785892
56,12-3-7-10-11-4-8-2-1-14-6-15-13-0-5-9,6.321346998214722,16019,48,2534.1117968249637
57,7-9-11-3-12-14-5-2-10-15-1-0-8-13-6-4,40.03502893447876,111146,55,2776.218800338606
58,0-9-13-7-5-14-10-2-3-6-11-1-12-8-4-15,91.8064181804657,238221,50,2594.818583726077
59,15-6-0-4-2-5-11-13-10-8-9-3-14-1-12-7,101.04117584228516,289564,58,2865.801962280996
60,4-0-14-8-11-12-2-13-9-3-10-7-1-15-5-6,231.52668237686157,754290,59,3257.8966374693
61,6-1-0-14-8-13-12-15-3-5-2-7-4-9-10-11,121.04663825035095,309682,56,2558.369273829066
62,8-11-15-5-10-9-0-3-13-4-6-7-2-1-14-12,53.22763991355896,141073,53,2650.371127277122
63,2-12-15-1-10-14-4-7-8-5-13-0-6-11-3-9,364.712614774704,1132754,57,3105.8810529483403
64,6-0-5-14-2-4-1-8-15-11-9-13-3-12-7-10,471.9418737888336,1467526,57,3109.5481912177856
65,0-10-9-3-7-15-11-1-14-13-8-4-6-2-5-12,1364.861524105072,4539930,64,3326.293488254637
66,10-3-15-9-13-11-14-8-2-12-5-6-1-7-0-4,81.35370302200317,287662,61,3535.94230273941
67,7-0-11-2-10-6-15-14-1-3-8-13-4-5-9-12,6.310719013214111,18883,49,2992.2105485065326
68,9-12-6-3-4-10-15-7-5-8-13-14-2-11-1-0,7.8211071491241455,19971,46,2553.474798288177
69,0-12-13-5-9-1-14-2-4-10-3-8-15-11-7-6,42.65377473831177,118193,52,2770.9857034959823
70,0-5-4-10-2-13-11-6-7-14-8-15-1-9-12-3,25.33837604522705,70953,52,2800.218919845311
71,3-0-12-15-4-5-1-6-11-7-8-14-13-10-9-2,401.41141533851624,1078401,49,2686.523000574282
72,10-4-7-11-5-15-0-3-9-1-13-14-8-12-6-2,2.6125986576080322,7494,43,2868.4084247601736
73,4-12-13-7-10-15-0-5-1-11-8-6-2-14-3-9,128.22669649124146,406351,59,3169.004670004548
74,2-15-11-7-4-12-8-14-6-9-5-13-10-1-3-0,372.7202274799347,1122172,56,3010.7622749302272
75,1-4-7-6-3-8-14-2-9-11-15-10-5-12-0-13,23.14047861099243,50215,43,2170.006975402244
76,13-2-7-11-6-14-15-0-5-10-8-1-4-9-3-12,21.764291763305664,55133,54,2533.186036999999
77,8-0-9-6-14-3-15-7-12-11-2-13-4-5-1-10,9.865558385848999,27788,55,2816.6677356913387
78,8-3-2-5-15-4-11-7-12-14-0-13-1-6-10-9,50.2731499671936,131643,54,2618.5548366455128
79,6-15-4-13-3-2-11-9-14-8-1-12-7-0-5-10,46.28903269767761,160012,56,3456.8015504896916
80,8-12-11-15-9-14-5-4-0-10-6-3-1-7-13-2,378.07271933555603,1182244,58,3127.028054491038
81,5-15-9-10-8-7-1-14-13-11-12-6-4-3-0-2,71.88654613494873,247868,53,3448.0443605496193
82,11-3-2-0-12-9-8-1-14-6-13-4-15-10-7-5,123.40192794799805,376125,59,3047.966966597963
83,4-12-8-9-13-14-15-7-6-11-1-0-10-5-2-3,6.865612268447876,28372,51,4132.479215348134
84,11-14-4-6-8-3-1-7-13-2-15-9-12-10-0-5,63.944361448287964,164783,53,2576.974674041598
85,11-7-9-13-5-2-15-3-8-10-14-0-1-6-12-4,12.43587589263916,41459,55,3333.8222701739674
86,12-1-2-0-13-8-10-11-6-15-3-5-7-9-14-4,26.979856252670288,75057,49,2781.9644143793894
87,9-7-14-6-11-13-15-4-12-3-0-2-5-1-8-10,68.75362658500671,211570,56,3077.219493846127
88,4-9-15-0-3-12-5-8-13-14-11-7-2-1-10-6,537.3338205814362,1582853,59,2945.753532296241
89,6-3-14-8-1-12-13-2-5-4-0-11-10-7-15-9,67.30292892456055,187437,52,2784.9753791561884
90,11-15-6-5-2-10-8-7-0-12-13-1-9-14-3-4,283.9693236351013,902759,56,3179.0722619040334
91,14-9-2-10-15-8-3-6-7-4-0-5-13-1-12-11,80.36090397834778,240328,54,2990.6084688240107
92,14-15-2-0-4-7-3-11-13-10-12-9-6-8-5-1,335.9013822078705,1080452,59,3216.575034309829
93,8-15-6-7-2-1-4-5-13-12-11-10-9-14-3-0,60.680129289627075,161566,50,2662.5849663049216
94,11-8-9-12-1-15-14-13-3-7-2-6-0-5-10-4,5176.096203804016,21177600,71,4091.423181902253
95,12-8-4-7-3-14-13-2-1-11-5-10-15-0-9-6,12.61917757987976,41617,48,3297.9169788651584
96,10-14-5-6-9-1-13-8-3-15-7-4-2-11-0-12,19.610535144805908,76964,59,3924.625178848567
97,0-11-5-14-8-7-6-9-3-4-15-2-12-13-1-10,214.12119603157043,614621,54,2870.4351152110094
98,15-9-11-2-8-13-12-10-1-14-0-5-4-7-6-3,64.23566842079163,194925,60,3034.5290209030845
99,11-6-5-13-0-9-8-7-1-2-14-10-4-3-15-12,92.14946937561035,299287,59,3247.8429016240625
100,3-9-15-2-4-1-11-6-7-14-8-0-10-12-5-13,146.82610964775085,348967,53,2376.736677401611
