Puzzle ID,Puzzle,Time Taken,Nodes Explored,Steps to Solution,Nodes per Second
29,4-1-8-0-2-5-3-7-6,0.18927836418151855,1144,21,6044.0082782145155
30,7-8-5-1-6-3-0-2-4,0.6154823303222656,7801,28,12674.612439183116
31,3-2-6-5-7-0-1-4-8,0.13775277137756348,1400,23,10163.13491191238
32,3-8-7-5-2-0-1-6-4,0.06829261779785156,1300,23,19035.73243960341
33,0-4-8-1-7-5-3-2-6,0.017243385314941406,377,20,21863.45622476633
34,7-3-0-4-2-5-1-6-8,0.022054433822631836,543,20,24620.89956001427
35,6-3-1-8-4-2-5-0-7,0.0,149,17,14900.0
36,4-1-5-3-7-6-8-2-0,0.044359683990478516,521,20,11744.898816498082
37,3-0-8-1-7-5-4-6-2,0.09836387634277344,1801,23,18309.567159837894
38,0-7-8-3-5-4-1-6-2,0.4418048858642578,4648,26,10520.48120949951
39,2-8-0-6-7-5-4-1-3,0.11754965782165527,1968,24,16741.860729070115
40,5-2-4-3-0-8-6-1-7,0.036772727966308594,394,18,10714.462097046086
41,5-1-7-4-8-6-3-0-2,0.02842569351196289,433,21,15232.697834364988
42,6-7-3-2-5-4-0-1-8,0.2667684555053711,3182,26,11927.947005473194
43,2-7-4-8-5-3-0-6-1,0.2618691921234131,3528,26,13472.375163311814
44,0-8-6-4-5-3-1-2-7,0.1554715633392334,1446,26,9300.736217882364
45,5-1-3-2-6-0-4-7-8,0.14188718795776367,1651,23,11636.004799048256
46,3-0-8-5-7-6-1-2-4,0.340618371963501,5139,27,15087.266051963488
47,5-4-6-2-3-1-7-0-8,0.019380569458007812,466,21,24044.701112095267
48,6-5-4-1-8-7-3-2-0,0.20666837692260742,2479,24,11995.062026002792
49,4-1-5-6-0-8-3-7-2,0.07331991195678711,962,20,13120.583131182404
50,3-8-5-6-7-2-1-0-4,0.03296184539794922,801,21,24300.823886815382
51,0-8-3-4-5-2-6-7-1,0.015748977661132812,301,20,19112.351701586533
52,7-1-2-6-8-0-3-4-5,0.027361154556274414,562,19,20540.068908427078
53,8-2-3-0-4-5-6-1-7,0.026233673095703125,613,21,23366.91464301294
54,7-3-5-2-1-8-4-0-6,0.008124351501464844,89,17,10954.720507101772
55,6-0-8-4-5-3-1-7-2,0.23885798454284668,2672,25,11186.563451558777
56,7-4-8-5-6-3-0-1-2,0.06560134887695312,828,24,12621.691690411119
57,4-1-2-3-6-8-5-0-7,0.02493143081665039,322,17,12915.42400306015
58,8-3-5-4-1-0-7-2-6,0.1832418441772461,2955,25,16126.22931878861
59,3-0-4-8-7-1-2-6-5,0.0777578353881836,1516,23,19496.427497393757
60,2-3-7-5-1-4-6-8-0,0.06536531448364258,1049,22,16048.266703627782
61,1-3-0-4-8-2-6-7-5,0.05883431434631348,461,18,7835.563397347317
62,2-6-3-7-4-0-8-1-5,0.03943490982055664,276,21,6998.874886639823
63,5-6-1-2-3-7-0-8-4,0.20296835899353027,1458,24,7183.385662818876
64,4-1-0-7-2-6-3-8-5,0.06227612495422363,583,20,9361.533018127524
65,3-4-8-2-7-6-0-5-1,0.0979161262512207,1166,24,11908.150829092503
66,1-5-3-7-4-0-6-8-2,0.057089805603027344,539,19,9441.265289076726
