Puzzle ID,Puzzle,Time Taken,Nodes Explored,Steps to Solution,Nodes per Second
1,1-5-6-7-3-8-0-2-4,0.0010364055633544922,37,18,35700.310098918795
2,0-6-8-5-1-2-7-4-3,0.019930601119995117,213,22,10687.083581553921
3,1-8-3-2-4-5-0-7-6,0.12848806381225586,1150,24,8950.247718576853
4,2-4-7-8-5-0-1-6-3,0.029226303100585938,205,21,7014.2295895059715
5,6-0-5-2-4-3-7-1-8,0.008746623992919922,55,17,6288.14043504334
6,0-2-3-8-6-5-1-4-7,0.055489301681518555,569,22,10254.228882997693
7,1-2-0-5-6-8-7-4-3,0.027127742767333984,195,20,7188.2132498989295
8,3-0-8-1-4-5-2-6-7,0.033452749252319336,311,21,9296.694799409883
9,5-8-3-0-2-1-7-6-4,0.09077882766723633,1081,25,11908.063011813401
10,0-8-6-7-1-3-5-2-4,0.041049957275390625,1134,26,27624.876498466685
11,2-7-8-6-4-0-1-5-3,0.061876773834228516,1292,25,20880.209486379223
12,2-0-8-6-7-5-3-4-1,0.1279911994934082,1369,23,10696.04789562509
13,8-2-3-1-6-7-0-5-4,0.11397790908813477,1081,26,9484.294006166616
14,0-8-4-6-2-1-3-7-5,0.06799125671386719,867,22,12751.639576962998
15,2-1-0-7-8-6-3-4-5,0.1082608699798584,1472,24,13596.787096518447
16,5-1-7-0-8-3-4-2-6,0.016196727752685547,506,23,31240.878264197603
17,5-3-8-0-7-6-1-2-4,0.031281232833862305,601,25,19212.79775614887
18,5-0-2-6-4-7-8-1-3,0.0,245,21,24500.0
19,5-7-0-8-1-4-2-3-6,0.0857994556427002,897,26,10454.611783732415
20,4-0-1-5-6-3-8-2-7,0.03674721717834473,369,23,10041.576705227439
21,8-5-6-2-7-1-4-0-3,0.17089581489562988,2252,27,13177.619366368624
22,7-8-1-0-3-5-4-2-6,0.007172346115112305,69,19,9620.283083469069
23,8-3-0-2-6-1-4-7-5,0.03748011589050293,543,22,14487.681990801702
24,5-1-2-8-7-4-0-3-6,0.05018782615661621,1205,24,24009.806606081624
25,6-7-8-5-1-0-2-4-3,0.3642544746398926,3982,29,10931.917868508452
26,8-3-4-1-5-6-7-0-2,0.04120206832885742,350,23,8494.719177844388
27,4-2-7-6-8-3-5-0-1,0.03358626365661621,395,21,11760.760412008149
28,1-7-8-2-5-3-4-6-0,0.09340524673461914,640,24,6851.863491334201
29,4-1-8-0-2-5-3-7-6,0.03356766700744629,500,21,14895.28598722948
30,7-8-5-1-6-3-0-2-4,0.24993467330932617,2936,28,11747.069588725386
31,3-2-6-5-7-0-1-4-8,0.0805668830871582,619,23,7683.0575576612355
32,3-8-7-5-2-0-1-6-4,0.0441739559173584,514,23,11635.815478278704
33,0-4-8-1-7-5-3-2-6,0.014883279800415039,277,20,18611.489114937925
34,7-3-0-4-2-5-1-6-8,0.026342391967773438,409,20,15526.304539859531
35,6-3-1-8-4-2-5-0-7,0.0020666122436523438,61,17,29516.906322104292
36,4-1-5-3-7-6-8-2-0,0.01438283920288086,355,20,24682.192089646254
37,3-0-8-1-7-5-4-6-2,0.08698105812072754,1269,23,14589.383337216474
38,0-7-8-3-5-4-1-6-2,0.2666027545928955,2128,26,7981.913027303385
39,2-8-0-6-7-5-4-1-3,0.17110037803649902,1439,24,8410.267800185886
40,5-2-4-3-0-8-6-1-7,0.009343624114990234,161,18,17231.001377902525
41,5-1-7-4-8-6-3-0-2,0.031400442123413086,293,21,9331.078806101608
42,6-7-3-2-5-4-0-1-8,0.13764095306396484,1079,26,7839.236622392206
43,2-7-4-8-5-3-0-6-1,0.16501593589782715,1290,26,7817.426801728585
44,0-8-6-4-5-3-1-2-7,0.05668783187866211,446,26,7867.649638720422
45,5-1-3-2-6-0-4-7-8,0.09766411781311035,796,23,8150.3833529036965
46,3-0-8-5-7-6-1-2-4,0.1518700122833252,1859,27,12240.731215138723
47,5-4-6-2-3-1-7-0-8,0.007997274398803711,335,21,41889.27168112572
48,6-5-4-1-8-7-3-2-0,0.05023765563964844,979,24,19487.374311856944
49,4-1-5-6-0-8-3-7-2,0.05057525634765625,713,20,14097.802986875848
50,3-8-5-6-7-2-1-0-4,0.024669885635375977,536,21,21726.894397572312
51,0-8-3-4-5-2-6-7-1,0.008058309555053711,207,20,25687.769697328324
52,7-1-2-6-8-0-3-4-5,0.019466400146484375,447,19,22962.643151087595
53,8-2-3-0-4-5-6-1-7,0.02709341049194336,494,21,18233.215790492617
54,7-3-5-2-1-8-4-0-6,0.0,42,17,4200.0
55,6-0-8-4-5-3-1-7-2,0.04456162452697754,967,25,21700.286070463604
56,7-4-8-5-6-3-0-1-2,0.026808500289916992,358,24,13353.973408749322
57,4-1-2-3-6-8-5-0-7,0.008862972259521484,217,17,24483.885726583096
58,8-3-5-4-1-0-7-2-6,0.05450153350830078,1389,25,25485.521426446656
59,3-0-4-8-7-1-2-6-5,0.05520892143249512,584,23,10578.000526854463
60,2-3-7-5-1-4-6-8-0,0.029724836349487305,412,22,13860.463188289554
61,1-3-0-4-8-2-6-7-5,0.025800466537475586,429,18,16627.606302268632
62,2-6-3-7-4-0-8-1-5,0.01799631118774414,98,21,5445.560425001987
63,5-6-1-2-3-7-0-8-4,0.07744765281677246,664,24,8573.532907070887
64,4-1-0-7-2-6-3-8-5,0.04116511344909668,407,20,9887.012712919686
65,3-4-8-2-7-6-0-5-1,0.0452268123626709,369,24,8158.877018371597
66,1-5-3-7-4-0-6-8-2,0.06808114051818848,502,19,7373.554499514976
67,2-5-3-8-6-1-7-4-0,0.09824109077453613,1601,26,16296.643159981846
68,2-6-5-7-1-3-0-8-4,0.0010349750518798828,30,16,28986.20594333103
69,1-2-8-0-5-4-3-6-7,0.0,29,13,2900.0
70,3-7-4-5-8-6-1-0-2,0.014915704727172852,188,21,12604.164767187225
71,1-8-4-2-3-0-5-6-7,0.04084181785583496,505,21,12364.777733022773
72,8-4-5-6-1-0-3-7-2,0.37727832794189453,2870,25,7607.115986906131
73,4-1-0-8-3-5-6-7-2,0.015706777572631836,246,18,15662.028628242688
74,1-7-8-0-6-2-3-4-5,0.03506159782409668,219,19,6246.150021419974
75,0-1-2-3-4-7-5-6-8,0.011340618133544922,221,18,19487.473909935667
76,3-4-7-2-1-8-6-0-5,0.08968019485473633,1723,23,19212.714722474782
77,1-2-7-6-0-8-3-4-5,0.0302886962890625,235,18,7758.670025188917
78,5-2-8-4-6-3-7-1-0,0.07267308235168457,784,24,10788.038357944051
79,4-3-2-6-1-7-0-8-5,0.016156435012817383,13,10,804.6329521139231
80,3-2-6-5-8-7-4-0-1,0.019768953323364258,171,21,8649.926842505156
81,6-3-7-8-2-0-4-5-1,0.013490438461303711,105,21,7783.290387572239
82,4-0-3-1-6-8-5-7-2,0.06127166748046875,692,23,11293.963889926536
83,2-4-7-0-5-3-1-6-8,0.01778864860534668,576,21,32380.20002412513
84,3-7-8-1-0-5-4-6-2,0.12053537368774414,1571,24,13033.518310316043
85,1-3-8-0-2-6-7-4-5,0.08051300048828125,688,21,8545.20382829527
86,0-8-3-7-1-4-2-6-5,0.16901707649230957,1365,26,8076.107032073228
87,5-4-2-8-3-6-1-7-0,0.11425995826721191,1131,24,9898.480772721867
88,8-3-2-4-5-6-0-7-1,0.12275004386901855,903,24,7356.412849542878
89,0-8-6-7-2-4-5-1-3,0.03016519546508789,249,26,8254.546213306776
90,2-8-0-7-1-6-4-3-5,0.054529666900634766,705,24,12928.742097116923
91,5-7-3-0-6-2-8-4-1,0.08879470825195312,1570,25,17681.233835975425
92,5-3-6-8-7-0-1-2-4,0.07015514373779297,870,27,12401.086415725296
